diet,income,alcohol,physical_activity,sleep_duration,sleep_frailty,number_of_friends,church_frequency,education_level,n
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),1+ friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),1+ friends,sometimes,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),1+ friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),1+ friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),1+ friends,never,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),0 friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),0 friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),0 friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),0 friends,sometimes,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),0 friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),0 friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),0 friends,never,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,sometimes,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),0 friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),0 friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),0 friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),0 friends,sometimes,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),0 friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),0 friends,sometimes,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),0 friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),0 friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),0 friends,never,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,sometimes,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),0 friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),0 friends,sometimes,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,sometimes,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,sometimes,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),0 friends,never,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),0 friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),0 friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),0 friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),0 friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),0 friends,sometimes,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q4 (highest),0 friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,never,no highschool,0
Good,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),0 friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),0 friends,never,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),0 friends,never,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,never,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,never,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),0 friends,weekly,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),0 friends,weekly,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),0 friends,weekly,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),0 friends,sometimes,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),0 friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),0 friends,sometimes,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),0 friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),0 friends,never,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),0 friends,never,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,weekly,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,weekly,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,sometimes,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,sometimes,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),0 friends,sometimes,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),0 friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),0 friends,sometimes,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),0 friends,sometimes,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,never,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),0 friends,weekly,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),0 friends,weekly,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),0 friends,weekly,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),0 friends,sometimes,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),0 friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),0 friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),0 friends,weekly,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),0 friends,never,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),0 friends,never,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),0 friends,weekly,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),0 friends,weekly,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,never,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,weekly,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),0 friends,sometimes,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,weekly,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,sometimes,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,sometimes,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,never,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,never,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),0 friends,weekly,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),0 friends,weekly,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),0 friends,weekly,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),0 friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,weekly,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),0 friends,sometimes,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),0 friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),0 friends,never,no highschool,0
Good,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),0 friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,sometimes,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,≥9 hours,Q4 (highest),1+ friends,sometimes,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,weekly,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),0 friends,never,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,weekly,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,weekly,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,sometimes,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,sometimes,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,never,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,never,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,weekly,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,weekly,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,weekly,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,sometimes,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),0 friends,never,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),0 friends,weekly,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),0 friends,weekly,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),0 friends,weekly,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),0 friends,sometimes,some college,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),0 friends,sometimes,no highschool,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),0 friends,sometimes,high school,0
Poor,Q1 (Lowest),0-1 drink/day,No Activity,1-<5 hours,Q4 (highest),0 friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,never,high school,0
Good,Q4 (Highest),>4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),0 friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,never,high school,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,sometimes,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,sometimes,high school,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,high school,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),0 friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),0 friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),0 friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),0 friends,sometimes,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),0 friends,sometimes,no highschool,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),0 friends,sometimes,high school,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),0 friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),0 friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q4 (highest),0 friends,never,high school,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,No Activity,1-<5 hours,Q1 (lowest),1+ friends,sometimes,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,never,no highschool,0
Good,Q4 (Highest),>4 drinks/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,never,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,5-<7 hours,Q1 (lowest),0 friends,sometimes,high school,0
Good,Q4 (Highest),>4 drinks/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,No Activity,5-<7 hours,Q4 (highest),0 friends,weekly,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,5-<7 hours,Q4 (highest),0 friends,weekly,no highschool,0
Good,Q4 (Highest),>4 drinks/day,No Activity,5-<7 hours,Q4 (highest),0 friends,weekly,high school,0
Good,Q4 (Highest),>4 drinks/day,No Activity,5-<7 hours,Q4 (highest),0 friends,sometimes,some college,0
Good,Q4 (Highest),>4 drinks/day,No Activity,5-<7 hours,Q4 (highest),0 friends,sometimes,no highschool,0
